Timestamp UNIX,Timestamp Local, X,Y, Left Pupil Diameter, Right Pupil Diameter, Left Eye Openness, Right Eye Openness, Gaze on Left, Gaze on Middle, Gaze on Right
'1731039853069,'2024-11-08 15:24:13.069,0,200,-1,-1,-1,-1,0,0,0
'1731039853078,'2024-11-08 15:24:13.078,0,200,-1,-1,-1,-1,0,0,0
'1731039853087,'2024-11-08 15:24:13.087,0,200,-1,-1,-1,-1,0,0,0
'1731039853096,'2024-11-08 15:24:13.096,0,200,-1,-1,-1,-1,0,0,0
'1731039853105,'2024-11-08 15:24:13.105,0,200,-1,-1,-1,-1,0,0,0
'1731039853121,'2024-11-08 15:24:13.121,0,200,-1,-1,-1,-1,0,0,0
'1731039853130,'2024-11-08 15:24:13.130,0,200,-1,-1,-1,-1,0,0,0
'1731039853138,'2024-11-08 15:24:13.138,0,200,-1,-1,-1,-1,0,0,0
'1731039853146,'2024-11-08 15:24:13.146,0,200,-1,-1,-1,-1,0,0,0
'1731039853154,'2024-11-08 15:24:13.154,0,200,-1,-1,-1,-1,0,0,0
'1731039853172,'2024-11-08 15:24:13.172,0,200,-1,-1,-1,-1,0,0,0
'1731039853181,'2024-11-08 15:24:13.181,0,200,-1,-1,-1,-1,0,0,0
'1731039853189,'2024-11-08 15:24:13.189,0,200,-1,-1,-1,-1,0,0,0
'1731039853197,'2024-11-08 15:24:13.197,0,200,-1,-1,-1,-1,0,0,0
'1731039853205,'2024-11-08 15:24:13.205,0,200,-1,-1,-1,-1,0,0,0
'1731039853222,'2024-11-08 15:24:13.222,0,200,-1,-1,-1,-1,0,0,0
'1731039853231,'2024-11-08 15:24:13.231,0,200,-1,-1,-1,-1,0,0,0
'1731039853240,'2024-11-08 15:24:13.240,0,200,-1,-1,-1,-1,0,0,0
'1731039853249,'2024-11-08 15:24:13.249,0,200,-1,-1,-1,-1,0,0,0
'1731039853258,'2024-11-08 15:24:13.258,0,200,-1,-1,-1,-1,0,0,0
'1731039853266,'2024-11-08 15:24:13.266,0,200,-1,-1,-1,-1,0,0,0
'1731039853275,'2024-11-08 15:24:13.275,0,200,-1,-1,-1,-1,0,0,0
'1731039853284,'2024-11-08 15:24:13.284,0,200,-1,-1,-1,-1,0,0,0
'1731039853302,'2024-11-08 15:24:13.302,0,200,-1,-1,-1,-1,0,0,0
'1731039853319,'2024-11-08 15:24:13.319,0,200,-1,-1,-1,-1,0,0,0
'1731039853327,'2024-11-08 15:24:13.327,0,200,-1,-1,-1,-1,0,0,0
'1731039853336,'2024-11-08 15:24:13.336,0,200,-1,-1,-1,-1,0,0,0
'1731039853344,'2024-11-08 15:24:13.344,0,200,-1,-1,-1,-1,0,0,0
'1731039853353,'2024-11-08 15:24:13.353,0,200,-1,-1,-1,-1,0,0,0
'1731039853369,'2024-11-08 15:24:13.369,0,200,-1,-1,-1,-1,0,0,0
'1731039853378,'2024-11-08 15:24:13.378,0,200,-1,-1,-1,-1,0,0,0
'1731039853387,'2024-11-08 15:24:13.387,0,200,-1,-1,-1,-1,0,0,0
'1731039853395,'2024-11-08 15:24:13.395,0,200,-1,-1,-1,-1,0,0,0
'1731039853404,'2024-11-08 15:24:13.404,0,200,-1,-1,-1,-1,0,0,0
'1731039853421,'2024-11-08 15:24:13.421,0,200,-1,-1,-1,-1,0,0,0
'1731039853429,'2024-11-08 15:24:13.429,0,200,-1,-1,-1,-1,0,0,0
'1731039853438,'2024-11-08 15:24:13.438,0,200,-1,-1,-1,-1,0,0,0
'1731039853446,'2024-11-08 15:24:13.446,0,200,-1,-1,-1,-1,0,0,0
'1731039853454,'2024-11-08 15:24:13.454,0,200,-1,-1,-1,-1,0,0,0
'1731039853471,'2024-11-08 15:24:13.471,0,200,-1,-1,-1,-1,0,0,0
'1731039853480,'2024-11-08 15:24:13.480,0,200,-1,-1,-1,-1,0,0,0
'1731039853490,'2024-11-08 15:24:13.490,0,200,-1,-1,-1,-1,0,0,0
'1731039853498,'2024-11-08 15:24:13.498,0,200,-1,-1,-1,-1,0,0,0
'1731039853506,'2024-11-08 15:24:13.506,0,200,-1,-1,-1,-1,0,0,0
'1731039853515,'2024-11-08 15:24:13.515,0,200,-1,-1,-1,-1,0,0,0
'1731039853531,'2024-11-08 15:24:13.531,0,200,-1,-1,-1,-1,0,0,0
'1731039853540,'2024-11-08 15:24:13.540,0,200,-1,-1,-1,-1,0,0,0
'1731039853557,'2024-11-08 15:24:13.557,0,200,-1,-1,-1,-1,0,0,0
'1731039853565,'2024-11-08 15:24:13.565,0,200,-1,-1,-1,-1,0,0,0
'1731039853574,'2024-11-08 15:24:13.574,0,200,-1,-1,-1,-1,0,0,0
'1731039853582,'2024-11-08 15:24:13.582,0,200,-1,-1,-1,-1,0,0,0
'1731039853592,'2024-11-08 15:24:13.592,0,200,-1,-1,-1,-1,0,0,0
'1731039853602,'2024-11-08 15:24:13.602,0,200,-1,-1,-1,-1,0,0,0
'1731039853619,'2024-11-08 15:24:13.619,0,200,-1,-1,-1,-1,0,0,0
'1731039853628,'2024-11-08 15:24:13.628,0,200,-1,-1,-1,-1,0,0,0
'1731039853636,'2024-11-08 15:24:13.636,0,200,-1,-1,-1,-1,0,0,0
'1731039853645,'2024-11-08 15:24:13.645,0,200,-1,-1,-1,-1,0,0,0
'1731039853654,'2024-11-08 15:24:13.654,0,200,-1,-1,-1,-1,0,0,0
'1731039853670,'2024-11-08 15:24:13.670,0,200,-1,-1,-1,-1,0,0,0
'1731039853680,'2024-11-08 15:24:13.680,0,200,-1,-1,-1,-1,0,0,0
'1731039853689,'2024-11-08 15:24:13.689,0,200,-1,-1,-1,-1,0,0,0
'1731039853698,'2024-11-08 15:24:13.698,0,200,-1,-1,-1,-1,0,0,0
'1731039853706,'2024-11-08 15:24:13.706,0,200,-1,-1,-1,-1,0,0,0
'1731039853714,'2024-11-08 15:24:13.714,0,200,-1,-1,-1,-1,0,0,0
'1731039853723,'2024-11-08 15:24:13.723,0,200,-1,-1,-1,-1,0,0,0
'1731039853740,'2024-11-08 15:24:13.740,0,200,-1,-1,-1,-1,0,0,0
'1731039853749,'2024-11-08 15:24:13.749,0,200,-1,-1,-1,-1,0,0,0
'1731039853758,'2024-11-08 15:24:13.758,0,200,-1,-1,-1,-1,0,0,0
'1731039853766,'2024-11-08 15:24:13.766,0,200,-1,-1,-1,-1,0,0,0
'1731039853775,'2024-11-08 15:24:13.775,0,200,-1,-1,-1,-1,0,0,0
'1731039853783,'2024-11-08 15:24:13.783,0,200,-1,-1,-1,-1,0,0,0
'1731039853800,'2024-11-08 15:24:13.800,0,200,-1,-1,-1,-1,0,0,0
'1731039853809,'2024-11-08 15:24:13.809,0,200,-1,-1,-1,-1,0,0,0
'1731039853819,'2024-11-08 15:24:13.819,0,200,-1,-1,-1,-1,0,0,0
'1731039853828,'2024-11-08 15:24:13.828,0,200,-1,-1,-1,-1,0,0,0
'1731039853845,'2024-11-08 15:24:13.845,0,200,-1,-1,-1,-1,0,0,0
'1731039853862,'2024-11-08 15:24:13.862,0,200,-1,-1,-1,-1,0,0,0
'1731039853871,'2024-11-08 15:24:13.871,0,200,-1,-1,-1,-1,0,0,0
'1731039853880,'2024-11-08 15:24:13.880,0,200,-1,-1,-1,-1,0,0,0
'1731039853897,'2024-11-08 15:24:13.897,0,200,-1,-1,-1,-1,0,0,0
'1731039853906,'2024-11-08 15:24:13.906,0,200,-1,-1,-1,-1,0,0,0
'1731039853923,'2024-11-08 15:24:13.923,0,200,-1,-1,-1,-1,0,0,0
'1731039853941,'2024-11-08 15:24:13.941,0,200,-1,-1,-1,-1,0,0,0
'1731039853949,'2024-11-08 15:24:13.949,0,200,-1,-1,-1,-1,0,0,0
'1731039853957,'2024-11-08 15:24:13.957,0,200,-1,-1,-1,-1,0,0,0
'1731039853974,'2024-11-08 15:24:13.974,0,200,-1,-1,-1,-1,0,0,0
'1731039853982,'2024-11-08 15:24:13.982,0,200,-1,-1,-1,-1,0,0,0
'1731039854000,'2024-11-08 15:24:14.000,0,200,-1,-1,-1,-1,0,0,0
